Original;ger;spa;fra;por-BR;ita;Occurrences
Batch;Charge;Lote;Lot;Lote;Lotto;ADVISEDLULINE00009 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Billing category;Verrechnungskategorie;Categoría de facturación;Catégorie de facturation;Categoria de faturamento;Categoria di fatturazione;ITEM00012
CSIA 01 registration;Erfassung ABIA 01;Registro de AAIE 01;Enregistrement AISA 01;Registro AAIE 01;Registrazione AQSP 01;ITEM00012
CSIA 01 stock mode;ABIA 01 Bestandsmodus;Gestión de existencias de AAIE 01;Mode de stockage AISA 01;Modo de estoque AAIE 01;Modo gestione scorte AQSP 01;ITEM00012
CSIA 01;ABIA 01;AAIE 01;AISA 01;AAIE 01;AQSP 01;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 02 registration;Erfassung ABIA 02;Registro de AAIE 02;Enregistrement AISA 02;Registro AAIE 02;Registrazione AQSP 02;ITEM00012
CSIA 02 stock mode;ABIA 02 Bestandsmodus;Gestión de existencias de AAIE 02;Mode de stockage AISA 02;Modo de estoque AAIE 02;Modo gestione scorte AQSP 02;ITEM00012
CSIA 02;ABIA 02;AAIE 02;AISA 02;AAIE 02;AQSP 02;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 03 registration;Erfassung ABIA 03;Registro de AAIE 03;Enregistrement AISA 03;Registro AAIE 03;Registrazione AQSP 03;ITEM00012
CSIA 03 stock mode;ABIA 03 Bestandsmodus;Gestión de existencias de AAIE 03;Mode de stockage AISA 03;Modo de estoque AAIE 03;Modo gestione scorte AQSP 03;ITEM00012
CSIA 03;ABIA 03;AAIE 03;AISA 03;AAIE 03;AQSP 03;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 04 registration;Erfassung ABIA 04;Registro de AAIE 04;Enregistrement AISA 04;Registro AAIE 04;Registrazione AQSP 04;ITEM00012
CSIA 04 stock mode;ABIA 04 Bestandsmodus;Gestión de existencias de AAIE 04;Mode de stockage AISA 04;Modo de estoque AAIE 04;Modo gestione scorte AQSP 04;ITEM00012
CSIA 04;ABIA 04;AAIE 04;AISA 04;AAIE 04;AQSP 04;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 05 registration;Erfassung ABIA 05;Registro de AAIE 05;Enregistrement AISA 05;Registro AAIE 05;Registrazione AQSP 05;ITEM00012
CSIA 05 stock mode;ABIA 05 Bestandsmodus;Gestión de existencias de AAIE 05;Mode de stockage AISA 05;Modo de estoque AAIE 05;Modo gestione scorte AQSP 05;ITEM00012
CSIA 05;ABIA 05;AAIE 05;AISA 05;AAIE 05;AQSP 05;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 06 registration;Erfassung ABIA 06;Registro de AAIE 06;Enregistrement AISA 06;Registro AAIE 06;Registrazione AQSP 06;ITEM00012
CSIA 06 stock mode;ABIA 06 Bestandsmodus;Gestión de existencias de AAIE 06;Mode de stockage AISA 06;Modo de estoque AAIE 06;Modo gestione scorte AQSP 06;ITEM00012
CSIA 06;ABIA 06;AAIE 06;AISA 06;AAIE 06;AQSP 06;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 07 registration;Erfassung ABIA 07;Registro de AAIE 07;Enregistrement AISA 07;Registro AAIE 07;Registrazione AQSP 07;ITEM00012
CSIA 07 stock mode;ABIA 07 Bestandsmodus;Gestión de existencias de AAIE 07;Mode de stockage AISA 07;Modo de estoque AAIE 07;Modo gestione scorte AQSP 07;ITEM00012
CSIA 07;ABIA 07;AAIE 07;AISA 07;AAIE 07;AQSP 07;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 08 registration;Erfassung ABIA 08;Registro de AAIE 08;Enregistrement AISA 08;Registro AAIE 08;Registrazione AQSP 08;ITEM00012
CSIA 08 stock mode;ABIA 08 Bestandsmodus;Gestión de existencias de AAIE 08;Mode de stockage AISA 08;Modo de estoque AAIE 08;Modo gestione scorte AQSP 08;ITEM00012
CSIA 08;ABIA 08;AAIE 08;AISA 08;AAIE 08;AQSP 08;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 09 registration;Erfassung ABIA 09;Registro de AAIE 09;Enregistrement AISA 09;Registro AAIE 09;Registrazione AQSP 09;ITEM00012
CSIA 09 stock mode;ABIA 09 Bestandsmodus;Gestión de existencias de AAIE 09;Mode de stockage AISA 09;Modo de estoque AAIE 09;Modo gestione scorte AQSP 09;ITEM00012
CSIA 09;ABIA 09;AAIE 09;AISA 09;AAIE 09;AQSP 09;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 10 registration;Erfassung ABIA 10;Registro de AAIE 10;Enregistrement AISA 10;Registro AAIE 10;Registrazione AQSP 10;ITEM00012
CSIA 10 stock mode;ABIA 10 Bestandsmodus;Gestión de existencias de AAIE 10;Mode de stock AISA 10;Modo de estoque AAIE 10;Modo gestione scorte AQSP 10;ITEM00012
CSIA 10;ABIA 10;AAIE 10;AISA 10;AAIE 10;AQSP 10;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 11 registration;Erfassung ABIA 11;Registro de AAIE 11;Enregistrement AISA 11;Registro AAIE 11;Registrazione AQSP 11;ITEM00012
CSIA 11 stock mode;ABIA 11 Bestandsmodus;Gestión de existencias de AAIE 11;Mode de stock AISA 11;Modo de estoque AAIE 11;Modo gestione scorte AQSP 11;ITEM00012
CSIA 11;ABIA 11;AAIE 11;AISA 11;AAIE 11;AQSP 11;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 12 registration;Erfassung ABIA 12;Registro de AAIE 12;Enregistrement AISA 12;Registro AAIE 12;Registrazione AQSP 12;ITEM00012
CSIA 12 stock mode;ABIA 12 Bestandsmodus;Gestión de existencias de AAIE 12;Mode de stock AISA 12;Modo de estoque AAIE 12;Modo gestione scorte AQSP 12;ITEM00012
CSIA 12;ABIA 12;AAIE 12;AISA 12;AAIE 12;AQSP 12;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 13 registration;Erfassung ABIA 13;Registro de AAIE 13;Enregistrement AISA 13;Registro AAIE 13;Registrazione AQSP 13;ITEM00012
CSIA 13 stock mode;ABIA 13 Bestandsmodus;Gestión de existencias de AAIE 13;Mode de stock AISA 13;Modo de estoque AAIE 13;Modo gestione scorte AQSP 13;ITEM00012
CSIA 13;ABIA 13;AAIE 13;AISA 13;AAIE 13;AQSP 13;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 14 registration;Erfassung ABIA 14;Registro de AAIE 14;Enregistrement AISA 14;Registro AAIE 14;Registrazione AQSP 14;ITEM00012
CSIA 14 stock mode;ABIA 14 Bestandsmodus;Gestión de existencias de AAIE 14;Mode de stockage AISA 14;Modo de estoque AAIE 14;Modo gestione scorte AQSP 14;ITEM00012
CSIA 14;ABIA 14;AAIE 14;AISA 14;AAIE 14;AQSP 14;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 15 registration;Erfassung ABIA 15;Registro de AAIE 15;Enregistrement AISA 15;Registro AAIE 15;Registrazione AQSP 15;ITEM00012
CSIA 15 stock mode;ABIA 15 Bestandsmodus;Gestión de existencias de AAIE 15;Mode de stock AISA 15;Modo de estoque AAIE 15;Modo gestione scorte AQSP 15;ITEM00012
CSIA 15;ABIA 15;AAIE 15;AISA 15;AAIE 15;AQSP 15;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 16 registration;Erfassung ABIA 16;Registro de AAIE 16;Enregistrement AISA 16;Registro AAIE 16;Registrazione AQSP 16;ITEM00012
CSIA 16 stock mode;ABIA 16 Bestandsmodus;Gestión de existencias de AAIE 16;Mode de stockage AISA 16;Modo de estoque AAIE 16;Modo gestione scorte AQSP 16;ITEM00012
CSIA 16;ABIA 16;AAIE 16;AISA 16;AAIE 16;AQSP 16;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 17 registration;Erfassung ABIA 17;Registro de AAIE 17;Enregistrement AISA 17;Registro AAIE 17;Registrazione AQSP 17;ITEM00012
CSIA 17 stock mode;ABIA 17 Bestandsmodus;Gestión de existencias de AAIE 17;Mode de stockage AISA 17;Modo de estoque AAIE 17;Modo gestione scorte AQSP 17;ITEM00012
CSIA 17;ABIA 17;AAIE 17;AISA 17;AAIE 17;AQSP 17;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 18 registration;Erfassung ABIA 18;Registro de AAIE 18;Enregistrement AISA 18;Registro AAIE 18;Registrazione AQSP 18;ITEM00012
CSIA 18 stock mode;ABIA 18 Bestandsmodus;Gestión de existencias de AAIE 18;Mode de stock AISA 18;Modo de estoque AAIE 18;Modo gestione scorte AQSP 18;ITEM00012
CSIA 18;ABIA 18;AAIE 18;AISA 18;AAIE 18;AQSP 18;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 19 registration;Erfassung ABIA 19;Registro de AAIE 19;Enregistrement AISA 19;Registro AAIE 19;Registrazione AQSP 19;ITEM00012
CSIA 19 stock mode;ABIA 19 Bestandsmodus;Gestión de existencias de AAIE 19;Mode de stock AISA 19;Modo de estoque AAIE 19;Modo gestione scorte AQSP 19;ITEM00012
CSIA 19;ABIA 19;AAIE 19;AISA 19;AAIE 19;AQSP 19;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
CSIA 20 registration;Erfassung ABIA 20;Registro de AAIE 20;Enregistrement AISA 20;Registro AAIE 20;Registrazione AQSP 20;ITEM00012
CSIA 20 stock mode;ABIA 20 Bestandsmodus;Gestión de existencias de AAIE 20;Mode de stockage AISA 20;Modo de estoque AAIE 20;Modo gestione scorte AQSP 20;ITEM00012
CSIA 20;ABIA 20;AAIE 20;AISA 20;AAIE 20;AQSP 20;ADVISEDLULINE00009 ASO00001 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Can be split;Kann gesplittet werden;Puede ser dividida;Divisable;Pode ser dividida;Può essere frammentata. ;LOADLUACK00011
Canceled;Storniert;Anulado;Annulé;Cancelado;Annullato;CONSIGNMENTACK00012 OBDACK00011 OBOACK00011
Cash on delivery unit;Cash on delivery unit;Cash on delivery unit;Cash on delivery unit;Cash on delivery unit;Cash on delivery unit;OBD00010 OBDACK00011
Cash on delivery;Nachnahme;Pago en efectivo en el momento de la entrega;Contre remboursement;Pagamento contra entrega;Spedizione contrassegno;OBD00010 OBDACK00011
Change password;Passwort ändern;Cambiar contraseña;Modification du mot de passe;Mudar senha;Modifica password;LOGIN00007
Check remaining shelf life IG;Check remaining shelf life IG;Check remaining shelf life IG;Check remaining shelf life IG;Check remaining shelf life IG;Check remaining shelf life IG;ITEM00012
Check requested;Kontrolle angefordert;Check requested;Contrôle demandé;Check requested;Check requested;FWCS_FFO00001
City;Stadt;Lugar;Ville;Cidade;Città;CONSIGNMENTADDRACK00008 FWCS_PARTNER00001 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Class;Klasse;Clase;Classe;Classe;Classe;DANGGOODS00009
Classification code;Klassifizierungscode;Código de clasificación;Code de classification;Código de classificação;Codice di classificazione;DANGGOODS00009 LOADLUDETAILACK00009 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002
